epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,1.9355994441896305,0.48261287223823246,2.1150241495407736,0.4049828178694158,0.001
2,1.054176013453664,0.703554274735831,2.0186743134075833,0.4482817869415808,0.001
3,0.838438350071023,0.7609510086455331,2.023493375647109,0.45618556701030927,0.001
4,0.7350659790460474,0.7881844380403458,2.091360019490481,0.45240549828178694,0.001
5,0.6507885296795943,0.8172430355427474,2.0488933139650274,0.4608247422680412,0.0001
6,0.6389658841917311,0.8185398655139289,2.04385404693302,0.4666666666666667,0.0001
7,0.6308306772587507,0.8219500480307397,2.0632559102015806,0.4625429553264605,0.0001
8,0.6225312720572685,0.8240634005763688,2.054386602398456,0.4647766323024055,0.0001
9,0.6106673848388517,0.834390009606148,2.0417418362758415,0.4654639175257732,1e-05
10,0.6148443754307933,0.8273775216138328,2.0463193210129886,0.4654639175257732,1e-05
